Composer;Title;Year;SD
Geoffroy;Danse Paysanne (Peasant Dance);1548;0,028368729
De Macque;French Song for 4 Stringed Instruments;1568;0,021765181
Byrd;All in a garden green MB. 56;1620;0,025894808
Byrd;Pavan and Galliard, Ph. Tregian MB. 60 No. 2;1620;0,026811106
Byrd;Pavan and Galliard, Bray MB. 59 No. 1;1620;0,025672175
Byrd;Lachrymae Pavan and Galliard MB. 54-55;1620;0,029171513
Byrd;Pavan and Galliard MB. 52 No. 1;1620;0,026914889
Byrd;Pavan and Galliard, Delight MB. 5;1620;0,023661201
Byrd;Pavan and Galliard MB. 4 No. 3;1620;0,023550643
Byrd;Pavan and Galliard MB. 33 No. 3;1620;0,027362124
Byrd;Pavan and Galliard, Kinborough Good MB. 32 No. 2;1620;0,031540351
Byrd;Quadran Pavan and Galliard MB. 70 No. 1;1620;0,025100119
Byrd;Pavan and Galliard MB. 31 No. 2;1620;0,02224783
Byrd;Pavan and Galliard, Sir William Petre MB. 3 No. 2;1620;0,026274336
Byrd;Pavan and Galliard MB. 29 No. 1;1620;0,021424829
Byrd;Pavan and Galliard MB. 23;1620;0,026427571
Byrd;Passamezzo Pavan and Galliard MB. 2 No. 1;1620;0,028662281
Byrd;Pavan and Galliard MB. 16 No. 3;1620;0,027202961
Byrd;Pavan and two Galliards, The Earl of Salisbury_MB. 15 No. 2;1620;0,024936176
Byrd;Pavan and Galliard MB. 14 No. 1;1620;0,023231348
Byrd;Echo Pavan and Galliard MB. 114 No. 5;1620;0,026832838
Byrd;Pavan and Galliard MB. 30;1620;0,028424881
Byrd;Pavan and Galliard MB. 71 No. 2;1620;0,028150963
Byrd;Pavan and Galliard MB. 72 No. 3;1620;0,022788433
Byrd;Pavan and Galliard MB. 73 No. 4;1620;0,031975929
Byrd;Ut re mi fa sol la MB. 64;1620;0,021534279
Byrd;Ut re mi fa sol la MB. 58;1620;0,022608889
Byrd;Ut mi re MB. 65;1620;0,025852276
Byrd;The woods so wild MB. 85;1620;0,021733845
Byrd;The Maidens Song MB. 82;1620;0,027605225
Byrd;The Hunts Up MB. 40-41;1620;0,028653042
Byrd;The Ghost (alman) MB. 78;1620;0,024537594
Byrd;The Carmens Whistle MB. 36;1620;0,026116046
Byrd;The Bells MB. 38;1620;0,031256982
Byrd;The Battle MB. 94;1620;0,021884044
Byrd;The Barley Break MB. 92;1620;0,02270795
Byrd;Salvator Mundi MB. 69;1620;0,023102954
Byrd;Salvator Mundi MB. 68;1620;0,018031134
Byrd;Rowland, or Lord Willoughbyðs Welcome home MB. 7;1620;0,026322303
Byrd;Sellingers Round MB. 84;1620;0,024408241
Byrd;Qui passe [Chi passa] for my Lady Nevel MB. 19;1620;0,024187366
Byrd;Prelude and Fantasia MB. 12-13;1620;0,025593065
Byrd;Prelude MB. 24;1620;0,039343411
Byrd;Pavan and Galliard MB. 76-77 No. 8-9;1620;0,022665086
Byrd;Lady Monteagleðs Pavan MB. 75 No. 7;1620;0,025828061
Byrd;Pavan MB. 74 No. 6;1620;0,029145939
Byrd;Pavan MB. 17 No. 4;1620;0,031241681
Byrd;O mistress mine, I must MB. 83;1620;0,023439332
