Composer;Title;Year;CardMean;|f1|;|f2|;|f3|;|f4|;|f5|;|f6|;ph2;ph3;ph5;TI;H;Amb
Abel;Symphony in Eb;1770;2,998064516;0,905524678;1,035054653;1,680619044;1,570476062;1,885021303;1,110967742;0,987159654;0,592514377;-0,448356042;2,028030073;2,067914495;0,748885706
Abel;Sonata Guitar Duet 2 Cantabile;1770;2,316455696;0,974374232;1,157408162;1,483741048;1,245350454;1,581940689;0,924050633;0,281682886;-0,07234933;1,818524811;-1,609191256;2,062093593;0,748387148
Abel;Sonata Guitar Duet 1 Moderato;1770;2,240282686;0,968081174;1,148695142;1,383729412;1,324052796;1,515384326;0,90459364;0,878831867;-0,061224893;1,810927112;-0,993320138;2,059107206;0,740014398
Abel;Sonata Guitar Duet 3 Vivace;1770;2,068376068;1,055945871;1,13167853;1,311693867;1,260601547;1,498935385;0,743589744;0,841338204;0,173602113;1,13875156;-0,123811243;2,068199261;0,747119264
Accolay;Violin Concerto in A-;1868;3,068535826;0,832578228;1,066636252;1,661901563;1,750651683;1,71027937;1,174454829;0,962353524;0,050549236;1,416705292;-0,403802532;2,040373756;0,723970383
Adam;Le Postillon de Lonjumeau I Mes amis, ecoutez l'histoire;1836;2,832853026;0,738201111;1,132473648;1,810652738;1,537133768;1,875404874;0,945244957;-0,680801471;1,451989086;1,230320605;-0,459132991;2,088770334;0,751630779
Adam;Noel, for voice, harp, and strings;1860;2,824027073;0,705521967;1,145259829;1,805746718;1,582636769;1,854153307;0,966159052;1,254263122;-0,749215684;-0,173857163;0,678904601;2,089085347;0,743974125
Adam;O Holy Night!;1847;2,748;0,692838947;1,09779374;1,859132148;1,543645361;1,788562324;1,0296;0,415109109;0,524080701;0,874021533;0,065168277;2,087494986;0,74015519
Adam;Le Brasseur de Preston Ouverture;1838;2,652552204;0,953055546;0,961906636;1,63954802;1,534745709;1,666330337;1,045823666;0,586411059;0,836331604;-0,401209941;1,823952604;2,063564027;0,73820499
Agnesi;Sonata per il Clavicembalo;1745;2,092071611;1,078431746;1,041714063;1,373100151;1,322284824;1,418002704;0,874680307;0,399059936;0,08555082;0,122022086;0,36258867;2,069308776;0,751807899
Aguado;Adagio and Andante in G;1825;2,587136929;0,994736739;0,989397775;1,785426321;1,463624556;1,47627957;1,437759336;-0,319373527;0,926999759;1,291798186;-0,684171955;2,101662018;0,787062452
Aguado;Study in G;1825;2,561290323;1,089090748;0,826608746;1,706316253;1,601571332;1,542711027;1,103225806;-0,46954987;0,516533726;1,437338769;-1,390354913;2,089823115;0,75764936
Aguado;Study in G;1872;2,561290323;1,089090748;0,826608746;1,706316253;1,601571332;1,542711027;1,103225806;-0,46954987;0,516533726;1,437338769;-1,390354913;2,089823115;0,75764936
Aguado;Brillante;1825;2,485804416;1,049798085;1,0638598;1,414021758;1,416580553;1,548778026;1,192429022;1,344509159;0,585009396;1,40610473;0,523413824;2,051267453;0,752875702
Aguado;Cantabile;1825;2,480362538;0,901658285;1,15244268;1,489927163;1,355784086;1,693959125;0,981873112;0,738158618;0,12712937;1,625636149;-0,760348161;2,043546502;0,74511634
Aguado;Allegro;1825;2,385365854;1,113381084;1,007560885;1,460271411;1,465653399;1,516571198;1,087804878;0,329484108;-0,321314659;1,945273666;-1,937104218;2,083933676;0,768366825
Aguado;Study in E-;1825;2,347150259;1,024402331;1,053593999;1,443429991;1,426331774;1,532709052;0,834196891;0,241209912;0,789664249;1,392402709;-0,361528548;2,03966395;0,739253285
Aguado;Study in C;1825;2,293515358;0,991966512;1,150021739;1,303324486;1,33591588;1,581827811;0,982935154;0,296646405;0,613809729;0,962066836;-0,051610701;2,055609036;0,745342487
Aguado;Rondo in A-;1825;2,29281768;1,044012423;1,035227327;1,385346623;1,454310178;1,468258221;0,895027624;0,696937131;0,077628418;1,139341195;-0,364775645;2,047968259;0,730417929
Aguado;Study in A-;1825;2,23418424;0,949415278;1,12926931;1,425649062;1,358452051;1,552194388;0,911209767;0,698519121;0,116365916;1,11557324;-0,300688202;2,072102035;0,750155026
Aguado;Minuet;1825;2,090909091;1,070599147;1,141127483;1,309032036;1,290326297;1,231365591;1,20979021;0,383458209;0,176480293;0,878451313;-0,318512812;2,057586323;0,748305343
Aguado;Study;1825;2;1,052208519;0,800550552;1,478186466;1,436241611;1,431863167;0,630872483;1,019084865;0,031626772;1,198303238;-0,147591601;2,066021159;0,715830195
Aguado;Study;1825;2;1,006443847;0,970648191;1,42034192;1,361788618;1,316880971;0,853658537;0,825838719;0,756664084;0,899270255;0,683232549;2,05518685;0,723263238
Ahlefeldt;Kanarien Trio;1820;2,336585366;1,020221624;0,854182855;1,624837622;1,545312555;1,409446123;1,097560976;1,018288658;-0,122763964;0,434528233;0,460996462;2,077871931;0,738836315
Albeniz;Concierto Fantastico 1 Allegro ma non troppo;1910;3,654286382;0,885848012;1,16428071;1,89432081;1,649843323;1,711617272;1,296893249;1,05940716;-0,062046921;1,082580148;-0,085219909;2,01657405;0,7406599
Albeniz;Concierto Fantastico 3 Allegro;1910;3,609231853;0,855498644;0,963658164;1,739025286;1,77844167;1,865218771;1,079985906;0,776826824;0,129543125;1,614930224;-0,708560274;1,966493707;0,698924953
Albeniz;Concierto Fantastico 2 Andante-Presto;1910;3,411469933;0,895268518;1,062355498;1,757863164;1,826050939;1,765787243;1,022828508;-0,045877023;0,594229982;1,048626874;-0,500273915;2,020671435;0,722015588
Albeniz;Iberia Suite Book III 3 Lavapies;1907;3,327968923;0,965493461;1,241483916;1,665684467;1,488041219;1,727943189;1,158157603;-0,232390945;0,007565791;-1,052904224;0,82807907;2,007790536;0,740190196
Albeniz;Iberia Suite Book IV 2 Jerez;1908;3,235192391;0,899020595;1,231236392;1,748157193;1,424595936;1,840248518;1,089926502;0,777262135;0,001049696;0,819857089;-0,041545259;2,029712798;0,737891859
Albeniz;Suite Espana 5 Capricho Catalan;1890;3,223175966;0,874507212;1,117065968;1,581903806;1,634436629;1,957464483;0,995708155;1,044234738;0,794005618;-0,48675144;2,324991797;2,009156235;0,727156226
Albeniz;Iberia Suite Book III 2 El Polo;1907;3,220825853;1,022918712;1,158033414;1,603221382;1,54861863;1,567268327;1,326750449;0,259199733;-0,00650292;-0,4235959;0,676292713;1,993484535;0,735082788
