Unique Composers;Mean cardinality
Abel;2,405794742
Accolay;3,068535826
Adam;2,764358076
Agnesi;2,092071611
Aguado;2,332294385
Ahlefeldt;2,336585366
Albeniz;2,908000309
Albinoni;3,195748686
Albrechtsberger;2,276068037
Alexandrov;3,177083333
Alkan;3,125735874
Ambroise;3,089253188
Andersen;2
Anna Amalia;2,878464819
Archer;3,244639376
Arensky;3,192844806
Arne;2,773501004
Arnold;2,925577583
Arriaga;3,247368421
Arrieta;2,452145215
Ascher;2,759672508
Astorga;2,697569203
Attwood;3,132183908
Auber;2,999994325
Audran;2,829694323
Bach;2,737586224
Bachman;2,643818849
Badarzewska;2,757138574
Balakirev;3,278370514
Balfe;2,478943637
Banister;3,018518519
Bargiel;2,443703376
Bargy;2,985394783
Barnard;3,001246883
Barnett;2,5248
Baron;2,111346766
Barret;2,252336449
Barrios;2,354497354
Bartok;2,916052526
Bazin;2,809329446
Bazzini;2,950629556
Beethoven;2,808228158
Beethoven ;2,639989096
Bellini;2,999074099
Bellinzani;2,941713789
Bellman;2,926028921
Bembo;2,589595199
Benda;2,60311284
Benoit;3,232522796
Berens;2,872427984
Berg;3,439754935
Berlioz;3,303031665
Berthomieu;3,029857428
Berwald;3,364239178
Best;3,360892658
Bevilacqua;2,619127517
Billema;2,657210402
Billi;3,091740774
Billings;2,779536385
Bizet;3,14817847
Blavet;3,226430114
Bloch;3,572306421
Blodek;3,04640273
Blow;2,845732695
Boccherini;2,87796812
Bochsa;2,79434954
Boehm;2,956879845
Boellmann;3,029791692
Boely;2,500568828
Bohm;2,092064715
Boieldieu;3,109243697
Boismortier;2,570173822
Bon Di Venezia;2
Bonis;2,764924506
Borodin;3,058393501
Bortnyansky;2,945401563
Bouffil;2,853696326
Boulanger;3,298007246
Bourgault-Ducoudray;3,131212724
Boyce;3,159512121
Braga;2,897274633
Braham;2,549640288
Brahms;3,02208908
Brahms ;2,891326309
Brant;3,419469027
Braunschweig;2,5390625
Brenton;3,738170347
Brescianello;2,021285049
Brhams;3,114832536
Broca;2,43130299
Bruch;3,145478886
Bruckner;3,280922952
Burgmuller;2,671371479
Busoni;2,785660979
Buxtehude;2,758578182
Byrd;2,862357606
Cabanilles;2,74603094
Caldara;3,089053315
Campion;2,566947471
Campra;2,195121951
Cano;2,594676553
Cantallos;2,578703704
Carcassi;2,10362331
Cardillo;2,860724234
Carey;3,012137559
Carissimi;2,920280484
Carr;2,527721622
Carreno;3,128395062
Carulli;2,589870867
Casadesus;2,937839728
Casanovas;2,050071531
Casciolini;2,550458716
Casella;3,775126435
Castello;2,933206107
Catel;2,73111639
Cernohorsky;2,702439024
Cervantes;2,675051417
Chabrier;3,448133513
Chambonnieres;2,64927686
Chaminade;2,836509344
Chapi;3,227250042
Charpentier;2,477350264
Cherubini;3,113942755
Chopin;2,906151686
Chueca y Robles;3,606256375
Cilea;2,934751773
Cimarosa;2,291314317
Clarke;2,609252786
Clementi;2,422913966
Clerambault;2,693952712
Coleridge-Taylor;3,16614942
Colkin;3,222222222
Cons;2,953453453
Cooke;2,951090249
Corbetta;2,43385214
Corelli;2,876050643
Coste;2,539921227
Couperin;2,549022489
CPEBach;2,444705069
Cramer;2,36045269
