offset,Chord,NormalForm,PCsInNormalForm,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,Confidence
0.0,<music21.chord.Chord G4>,[7],[7],67.0,67.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
0.75,<music21.chord.Chord C5>,[0],[0],72.0,72.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
1.0,<music21.chord.Chord C#4 G4 B4 F#5>,"[6, 7, 11, 1]","[1, 6, 7, 11]",78.0,61.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
2.0,<music21.chord.Chord C#4 G4 B4 F#5>,"[6, 7, 11, 1]","[1, 6, 7, 11]",78.0,61.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
2.5,<music21.chord.Chord C#4 G4 B4 G5>,"[7, 11, 1]","[1, 7, 11]",79.0,61.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
3.0,<music21.chord.Chord C4 G4 B-4 G5>,"[7, 10, 0]","[0, 7, 10]",79.0,60.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
3.5,<music21.chord.Chord C4 G4 B-4 E-5>,"[7, 10, 0, 3]","[0, 3, 7, 10]",75.0,60.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
4.0,<music21.chord.Chord B3 G4 A4 E-5>,"[7, 9, 11, 3]","[3, 7, 9, 11]",75.0,59.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
4.5,<music21.chord.Chord B3 G4 A4 B4>,"[7, 9, 11]","[7, 9, 11]",71.0,59.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
5.0,<music21.chord.Chord A#3 E4 G#4 D5>,"[2, 4, 8, 10]","[2, 4, 8, 10]",74.0,58.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
5.75,<music21.chord.Chord A#3 E4 G4 D5>,"[2, 4, 7, 10]","[2, 4, 7, 10]",74.0,58.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
6.0,<music21.chord.Chord A#3 E4 G4 D5>,"[2, 4, 7, 10]","[2, 4, 7, 10]",74.0,58.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
6.5,<music21.chord.Chord A#3 E4 G4 C#5>,"[1, 4, 7, 10]","[1, 4, 7, 10]",73.0,58.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
7.0,<music21.chord.Chord F#2 A#3 G4 C#5>,"[6, 7, 10, 1]","[1, 6, 7, 10]",73.0,42.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
7.75,<music21.chord.Chord F#2 A#3 F#4 C#5>,"[6, 10, 1]","[1, 6, 10]",73.0,42.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.421250214818859
8.0,<music21.chord.Chord B1 D4 F#4>,"[11, 2, 6]","[2, 6, 11]",66.0,35.0,Op.1_PianoSonata.mxl,Berg,11,minor,0.5805670718368774
8.75,<music21.chord.Chord F#2 D4 F#4>,"[2, 6]","[2, 6]",66.0,42.0,Op.1_PianoSonata.mxl,Berg,2,major,0.49199501906880844
9.0,<music21.chord.Chord B2 D4 F#4>,"[11, 2, 6]","[2, 6, 11]",66.0,47.0,Op.1_PianoSonata.mxl,Berg,2,minor,0.41736193234118896
9.5,<music21.chord.Chord B2 D4 F#4 D5>,"[11, 2, 6]","[2, 6, 11]",74.0,47.0,Op.1_PianoSonata.mxl,Berg,2,minor,0.41736193234118896
10.0,<music21.chord.Chord D4 B-4>,"[10, 2]","[2, 10]",70.0,62.0,Op.1_PianoSonata.mxl,Berg,2,minor,0.41736193234118896
10.5,<music21.chord.Chord D4 F#4>,"[2, 6]","[2, 6]",66.0,62.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.404755500019574
10.75,<music21.chord.Chord C4 D4 F#4>,"[0, 2, 6]","[0, 2, 6]",66.0,60.0,Op.1_PianoSonata.mxl,Berg,10,minor,0.39908578767840086
11.0,<music21.chord.Chord C#4 F4 A4 F5>,"[1, 5, 9]","[1, 5, 9]",77.0,61.0,Op.1_PianoSonata.mxl,Berg,10,minor,0.39908578767840086
11.75,<music21.chord.Chord C#4 F4 A4 E5>,"[9, 1, 4, 5]","[1, 4, 5, 9]",76.0,61.0,Op.1_PianoSonata.mxl,Berg,3,minor,0.38729944845089265
12.0,<music21.chord.Chord C#4 F4 A4 E5>,"[9, 1, 4, 5]","[1, 4, 5, 9]",76.0,61.0,Op.1_PianoSonata.mxl,Berg,3,minor,0.38729944845089265
12.5,<music21.chord.Chord C#4 F#4 A#4 E5>,"[10, 1, 4, 6]","[1, 4, 6, 10]",76.0,61.0,Op.1_PianoSonata.mxl,Berg,3,minor,0.38624375038631387
12.75,<music21.chord.Chord D4 F#4 A#4 E5>,"[2, 4, 6, 10]","[2, 4, 6, 10]",76.0,62.0,Op.1_PianoSonata.mxl,Berg,3,minor,0.3602874627779466
13.0,<music21.chord.Chord D4 G4 B4>,"[7, 11, 2]","[2, 7, 11]",71.0,62.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2584505488625525
13.5,<music21.chord.Chord D4 G4 B4 F5>,"[11, 2, 5, 7]","[2, 5, 7, 11]",77.0,62.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2584505488625525
13.75,<music21.chord.Chord D4 G4 B4 E5>,"[11, 2, 4, 7]","[2, 4, 7, 11]",76.0,62.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2584505488625525
14.0,<music21.chord.Chord E-4 G-4 B-4 E-5>,"[3, 6, 10]","[3, 6, 10]",75.0,63.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
14.5,<music21.chord.Chord E-4 G-4 B-4>,"[3, 6, 10]","[3, 6, 10]",70.0,63.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
15.0,<music21.chord.Chord B3 D5 E-5 A5>,"[9, 11, 2, 3]","[2, 3, 9, 11]",81.0,59.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
15.5,<music21.chord.Chord F#3 D5 E-5 A5>,"[2, 3, 6, 9]","[2, 3, 6, 9]",81.0,54.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
15.75,<music21.chord.Chord F#3 C#5 E-5 A5>,"[1, 3, 6, 9]","[1, 3, 6, 9]",81.0,54.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
16.0,<music21.chord.Chord F4 C#5 E-5 A5>,"[1, 3, 5, 9]","[1, 3, 5, 9]",81.0,65.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
16.5,<music21.chord.Chord F4 C#5 B-5>,"[10, 1, 5]","[1, 5, 10]",82.0,65.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
17.0,<music21.chord.Chord F#4 A#4 F#5>,"[6, 10]","[6, 10]",78.0,66.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
17.5,<music21.chord.Chord F#4 A#4 D5>,"[2, 6, 10]","[2, 6, 10]",74.0,66.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
17.75,<music21.chord.Chord G4 B4 D5>,"[7, 11, 2]","[2, 7, 11]",74.0,67.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
18.0,<music21.chord.Chord G4 B4 C#6>,"[7, 11, 1]","[1, 7, 11]",85.0,67.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
18.5,<music21.chord.Chord G4 B4 A5>,"[7, 9, 11]","[7, 9, 11]",81.0,67.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
18.75,<music21.chord.Chord G#4 B#4 A5>,"[8, 9, 0]","[0, 8, 9]",81.0,68.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
19.0,<music21.chord.Chord G#4 B#4 F5>,"[5, 8, 0]","[0, 5, 8]",77.0,68.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
19.5,<music21.chord.Chord G#4 B#4 A5>,"[8, 9, 0]","[0, 8, 9]",81.0,68.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
19.75,<music21.chord.Chord A4 C#5 A5>,"[9, 1]","[1, 9]",81.0,69.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
20.0,<music21.chord.Chord A4 C#5 D#5>,"[9, 1, 3]","[1, 3, 9]",75.0,69.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
20.5,<music21.chord.Chord B3 G4 B4 D#5>,"[3, 7, 11]","[3, 7, 11]",75.0,59.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
20.75,<music21.chord.Chord B3 G4 B4 A5>,"[7, 9, 11]","[7, 9, 11]",81.0,59.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
21.0,<music21.chord.Chord A3 F4 A4 B4>,"[5, 9, 11]","[5, 9, 11]",71.0,57.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
21.5,<music21.chord.Chord G3 E-4 G4 B4>,"[3, 7, 11]","[3, 7, 11]",71.0,55.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
21.75,<music21.chord.Chord G3 E-4 G4 A5>,"[3, 7, 9]","[3, 7, 9]",81.0,55.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.2534577290576242
22.0,<music21.chord.Chord F3 D-4 F4 G4>,"[1, 5, 7]","[1, 5, 7]",67.0,53.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.26157486583223943
22.5,<music21.chord.Chord E-3 C-4 E-4 G4>,"[3, 7, 11]","[3, 7, 11]",67.0,51.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.26157486583223943
23.0,<music21.chord.Chord D3 G-3 B-3 D4 G4>,"[6, 7, 10, 2]","[2, 6, 7, 10]",67.0,50.0,Op.1_PianoSonata.mxl,Berg,6,minor,0.261752877390997
23.5,<music21.chord.Chord E1 E2 D3 G-3 B-3 D4 G4>,"[2, 4, 6, 7, 10]","[2, 4, 6, 7, 10]",67.0,28.0,Op.1_PianoSonata.mxl,Berg,2,major,0.312441254680536
23.75,<music21.chord.Chord E1 E2 D3 G-3 B-3 D4 G#4>,"[2, 4, 6, 8, 10]","[2, 4, 6, 8, 10]",68.0,28.0,Op.1_PianoSonata.mxl,Berg,2,minor,0.3840475493330468
24.0,<music21.chord.Chord E1 E2 A3 C#4 G#4>,"[8, 9, 1, 4]","[1, 4, 8, 9]",68.0,28.0,Op.1_PianoSonata.mxl,Berg,2,major,0.5686595336117343
24.5,<music21.chord.Chord E1 E2 A3 C#4 E4>,"[9, 1, 4]","[1, 4, 9]",64.0,28.0,Op.1_PianoSonata.mxl,Berg,9,major,0.5997780979256508
25.0,<music21.chord.Chord E1 E2 E3 G#3 C4 E4>,"[0, 4, 8]","[0, 4, 8]",64.0,28.0,Op.1_PianoSonata.mxl,Berg,5,major,0.5717444813130276
25.5,<music21.chord.Chord E1 E2 E3 G#3 C4>,"[0, 4, 8]","[0, 4, 8]",60.0,28.0,Op.1_PianoSonata.mxl,Berg,5,major,0.5445748117279103
26.0,<music21.chord.Chord G3 B3 D#4>,"[3, 7, 11]","[3, 7, 11]",63.0,55.0,Op.1_PianoSonata.mxl,Berg,7,minor,0.5330653762673758
