offset,Chord,NormalForm,PCsInNormalForm,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,Confidence
0.0,<music21.chord.Chord B4 C#5>,"[11, 1]","[1, 11]",73.0,71.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,0,minor,0.6143626302449824
0.5,<music21.chord.Chord C3 F3 C4 C5>,"[0, 5]","[0, 5]",72.0,48.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,0,minor,0.5781027254221139
1.0,<music21.chord.Chord C4 C5>,[0],[0],72.0,60.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
11/6,<music21.chord.Chord B4>,[11],[11],71.0,71.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
2.5,<music21.chord.Chord E-5>,[3],[3],75.0,75.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
19/6,<music21.chord.Chord G4>,[7],[7],67.0,67.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
23/6,<music21.chord.Chord D4>,[2],[2],62.0,62.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
4.5,<music21.chord.Chord G#3>,[8],[8],56.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
5.5,<music21.chord.Chord G#3>,[8],[8],56.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
6.0,<music21.chord.Chord G#3 B3 D4 G5>,"[7, 8, 11, 2]","[2, 7, 8, 11]",79.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
6.5,<music21.chord.Chord G#3 G5>,"[7, 8]","[7, 8]",79.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
7.0,<music21.chord.Chord G#3 B5>,"[8, 11]","[8, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
43/6,<music21.chord.Chord G#3 C4 E-4 B5>,"[8, 11, 0, 3]","[0, 3, 8, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
7.5,<music21.chord.Chord G#3 C4 E-4 B5>,"[8, 11, 0, 3]","[0, 3, 8, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
47/6,<music21.chord.Chord G#3 C#5 B5>,"[8, 11, 1]","[1, 8, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
8.0,<music21.chord.Chord G#3 B3 D4 C#5 B5>,"[8, 11, 1, 2]","[1, 2, 8, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
8.5,<music21.chord.Chord G#3 B-3 B3 D-4 D4 C#5 B5>,"[8, 10, 11, 1, 2]","[1, 2, 8, 10, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.5191582473227925
53/6,<music21.chord.Chord G#3 B-3 D-4 B5>,"[8, 10, 11, 1]","[1, 8, 10, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.584367722041034
55/6,<music21.chord.Chord G#3 B-3 C4 D-4 E-4 B-4 B5>,"[8, 10, 11, 0, 1, 3]","[0, 1, 3, 8, 10, 11]",83.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.584367722041034
9.5,<music21.chord.Chord G#3 C4 E-4 B-4 C#6>,"[8, 10, 0, 1, 3]","[0, 1, 3, 8, 10]",85.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.584367722041034
10.0,<music21.chord.Chord G#3 C4 E-4 B-4 F5>,"[8, 10, 0, 3, 5]","[0, 3, 5, 8, 10]",77.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.5580988128308844
61/6,<music21.chord.Chord G#3 F5>,"[5, 8]","[5, 8]",77.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.5373152812109654
10.5,<music21.chord.Chord G#3 B-3 D-4>,"[8, 10, 1]","[1, 8, 10]",61.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.46217368425529015
10.75,<music21.chord.Chord G#3 B-3 D-4 C5>,"[8, 10, 0, 1]","[0, 1, 8, 10]",72.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.4429010780313182
11.0,<music21.chord.Chord G#3 B-3 D-4 C5 C#6>,"[8, 10, 0, 1]","[0, 1, 8, 10]",85.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.4121321850727012
11.25,<music21.chord.Chord G#3 B-3 D-4 C#6>,"[8, 10, 1]","[1, 8, 10]",85.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.4121321850727012
11.5,<music21.chord.Chord G#3 D5 C#6>,"[8, 1, 2]","[1, 2, 8]",85.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.4097901893902408
71/6,<music21.chord.Chord G3 G#3 F4 D5 C#6>,"[1, 2, 5, 7, 8]","[1, 2, 5, 7, 8]",85.0,55.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.3834288568381403
12.0,<music21.chord.Chord G3 G#3 F4 D5 G5>,"[2, 5, 7, 8]","[2, 5, 7, 8]",79.0,55.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.3763026807671309
12.25,<music21.chord.Chord G3 G#3 F4 G5>,"[5, 7, 8]","[5, 7, 8]",79.0,55.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.3763026807671309
12.5,<music21.chord.Chord F3 G#3 A-4>,"[5, 8]","[5, 8]",68.0,53.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.3763026807671309
13.0,<music21.chord.Chord F3 G#3 A-4 C#5>,"[1, 5, 8]","[1, 5, 8]",73.0,53.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.3763026807671309
79/6,<music21.chord.Chord F#3 G#3 G4 C#5>,"[6, 7, 8, 1]","[1, 6, 7, 8]",73.0,54.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,1,major,0.3763026807671309
13.5,<music21.chord.Chord F#3 G#3 A-4 C#5 B-6>,"[6, 8, 10, 1]","[1, 6, 8, 10]",94.0,54.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.3595618053069738
83/6,<music21.chord.Chord G#3 C#5 B-6>,"[8, 10, 1]","[1, 8, 10]",94.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
14.0,<music21.chord.Chord G#3 B3 B-6>,"[8, 10, 11]","[8, 10, 11]",94.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
14.5,<music21.chord.Chord G#3 A4 B-6>,"[8, 9, 10]","[8, 9, 10]",94.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
89/6,<music21.chord.Chord G#3 A4 D5>,"[8, 9, 2]","[2, 8, 9]",74.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
15.0,<music21.chord.Chord G#3 G#4 A4 D5>,"[8, 9, 2]","[2, 8, 9]",74.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
91/6,<music21.chord.Chord G#3 G#4 A4 C#6>,"[8, 9, 1]","[1, 8, 9]",85.0,56.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
15.5,<music21.chord.Chord E4 A4 F6>,"[4, 5, 9]","[4, 5, 9]",89.0,64.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
16.0,<music21.chord.Chord F4 C5 F6>,"[0, 5]","[0, 5]",89.0,65.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
97/6,<music21.chord.Chord F4 C5 F#5>,"[0, 5, 6]","[0, 5, 6]",78.0,65.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
16.5,<music21.chord.Chord E4>,[4],[4],64.0,64.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
101/6,<music21.chord.Chord D#5>,[3],[3],75.0,75.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
17.0,<music21.chord.Chord D#5 G5 G6>,"[3, 7]","[3, 7]",91.0,75.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
103/6,<music21.chord.Chord G5 G6>,[7],[7],91.0,79.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
17.5,<music21.chord.Chord G5 G6>,[7],[7],91.0,79.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
17.75,<music21.chord.Chord A4 B4 G5 G6>,"[7, 9, 11]","[7, 9, 11]",91.0,69.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
18.0,<music21.chord.Chord A4 B4 G6>,"[7, 9, 11]","[7, 9, 11]",91.0,69.0,Op.10_5PiecesforOrchestra_1.mxl,Webern,8,minor,0.33840456360835447
